epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
87,928.702,1.02365,1.43859,0.89989,0.77605,1,0.945,0.39309,1.81476,1.47448,1.05942,0.0008648,0.0008648,0.0008648
88,939.06,1.05642,1.25939,0.90511,0.77191,1,0.945,0.32655,1.96683,1.32538,1.19386,0.0008516,0.0008516,0.0008516
89,949.255,1.22135,1.38843,0.92831,1,0.99013,0.995,0.34971,1.95225,1.27578,1.17297,0.0008384,0.0008384,0.0008384
90,959.36,1.09369,1.25919,0.90278,1,0.98971,0.995,0.32329,2.01202,1.28964,1.20989,0.0008252,0.0008252,0.0008252
91,969.657,1.10929,1.53739,0.90435,1,0.98971,0.995,0.32329,2.01202,1.28964,1.20989,0.000812,0.000812,0.000812
92,979.847,1.18863,1.44746,0.90322,0.97728,0.75,0.745,0.30584,2.07794,1.33716,1.25321,0.0007988,0.0007988,0.0007988
93,990.07,1.10554,1.3755,0.92016,0.97903,0.75,0.745,0.25596,2.11568,1.38018,1.31148,0.0007856,0.0007856,0.0007856
94,1000.26,1.17808,1.30281,0.8886,0.65053,0.5,0.33288,0.20222,2.22145,1.42921,1.36629,0.0007724,0.0007724,0.0007724
95,1010.58,1.17671,1.43889,0.91119,0.65053,0.5,0.33288,0.20222,2.22145,1.42921,1.36629,0.0007592,0.0007592,0.0007592
96,1021.13,1.20619,1.53267,0.9202,0.97988,0.75,0.745,0.24444,2.0656,1.287,1.2801,0.000746,0.000746,0.000746
97,1031.7,0.98272,1.7655,0.88383,1,0.98131,0.995,0.41775,1.75859,1.261,1.1251,0.0007328,0.0007328,0.0007328
98,1042.14,1.07601,1.27756,0.91465,0.98213,0.75,0.945,0.48225,1.60804,1.30347,1.04584,0.0007196,0.0007196,0.0007196
99,1052.44,1.19968,1.33461,0.94081,0.98213,0.75,0.945,0.48225,1.60804,1.30347,1.04584,0.0007064,0.0007064,0.0007064
100,1062.88,1.02968,1.32054,0.91079,0.98325,0.75,0.945,0.38775,1.71013,1.36419,1.09581,0.0006932,0.0006932,0.0006932
101,1073.4,0.95214,1.12676,0.87153,0.79182,1,0.945,0.38775,1.96786,1.39008,1.1635,0.00068,0.00068,0.00068
102,1083.66,0.86587,1.2252,0.86208,0.97899,0.75,0.745,0.29603,2.16411,1.36113,1.20553,0.0006668,0.0006668,0.0006668
103,1093.98,1.07598,1.18005,0.91895,0.97899,0.75,0.745,0.29603,2.16411,1.36113,1.20553,0.0006536,0.0006536,0.0006536
